Date,pH_Raw,pH_PTC,pH_PTC_(OL),pH_SWC,pH_Filter,pH_Finish_(OL),pH_Finish,Chlorine_Free,Chlorine_Total,Chlorine_Sample,Chlorine_Analyzer,Colour_Raw_A,Colour_Raw_T,Colour_SWC_A,Colour_Filter_A,Colour_Finish_A,Colour_Finish_T,Turbidity_Raw,Turbidity_Raw_(OL),Turbidity_SWC,Turbidity_Filter,Turbidity_Finish,Turbidity_Finish_(OL),Total_Dissolved_Solids_Raw,Total_Dissolved_Solids_PTC,Total_Dissolved_Solids_SWC,Total_Dissolved_Solids_Filter,Total_Dissolved_Solids_Finish,Conductivity_Raw,Conductivity_PTC,Conductivity_SWC,Conductivity_Filter,Conductivity_Finish,Hardness_Raw,Hardness_Finish,Alkalinity_Raw,Alkalinity_Finish,Aluminium_Finish_(Free),Temperature_Raw,Temperature_Finish,Cl_Used,Cl_Demand,UVT_Raw,UVT_Filter,UVA_Raw,UVA_Filter,Flows_within_plant_Raw,Flows_within_plant_Finish,Flows_within_plant_Filter,Flows_within_plant_Backwash,Flows_from_plant_Bishop's,Flows_from_plant_Botwood,Flows_from_plant_GFW,Chemical_Dosages_Chlorine,Chemical_Dosages_Alum,Chemical_Dosages_Limestone
2009-01-01,6.99,6.44,,,,,7.35,1.82,,,,,40.0,,,,0,0.341,,,0.083,0.134,,,,,,24.3,,,,,48.6,,20.9,,10,0.094,,3.4,89.96,1.03,,,,,14.612,14.312,,,,,,,14.68,14.88
2009-01-02,7.18,6.41,,,,,7.22,1.79,,,,,176.0,,,,0,0.307,,,0.085,0.138,,,,,,28.2,,,,,56.4,,20.2,,10,0.043,,3.7,89.96,1.09,,,,,14.521,14.201,,,,,,,14.68,14.88
2009-01-03,6.63,6.52,,,,,7.34,1.82,,,,,54.0,,,,0,0.518,,,0.091,0.12,,,,,,26.8,,,,,53.6,,23.2,,10,0.058,,3.7,89.96,1.03,,,,,14.66,14.34,,,,,,,14.68,14.88
2009-01-04,6.735000000000000,6.515,,,,,7.29,1.7850000000000000,,,,,74.0,,,,0,0.41400000000000000,,,0.14300000000000000,0.14100000000000000,,,,,,27.1,,,,,54.2,,23.85,,10,0.046,,3.6500000000000000,90.05,1.115,,,,,14.881,14.113,,,,,,,14.68,14.88
2009-01-05,6.84,6.51,,,,,7.24,1.75,,,,,94.0,,,,0,0.31,,,0.195,0.162,,,,,,27.4,,,,,54.8,,24.5,,10,0.034,,3.6,90.14,1.2,,,,,15.102,13.886,,,,,,,14.68,14.88
2009-01-06,6.8,6.48,,,,,1.73,1.73,,,,,52.0,,,,0,0.275,,,0.108,0.128,,,,,,27.5,,,,,55.1,,22.6,,10,0.046,,3.4,86.28,1.07,,,,,13.909,13.971,,,,,,,14.68,14.88
2009-01-07,7.32,6.395,,,,,4.51,4.795,,,,,56.0,,,,0,0.158,,,0.1005,0.136,,,,,,28.0,,,,,56.05,,22.9,,10,0.049,,3.9000000000000000,91.055,1.205,,,,,14.151,13.781500000000000,,,,,,,14.68,14.88
2009-01-08,7.84,6.31,,,,,7.29,7.86,,,,,60.0,,,,0,0.041,,,0.093,0.144,,,,,,28.5,,,,,57,,23.2,,10,0.052,,4.4,95.83,1.34,,,,,14.393,13.592,,,,,,,14.68,14.88
2009-01-09,6.74,6.34,,,,,7.22,1.69,,,,,64.0,,,,0,0.249,,,0.08,0.13,,,,,,27.5,,,,,55.1,,22.5,,10,0.061,,3.1,69.41,0.61,,,,,14.042,13.678,,,,,,,14.68,14.88
2009-01-10,6.71,5.94,,,,,7.55,1.78,,,,,60.0,,,,0,0.233,,,0.091,0.136,,,,,,27.4,,,,,54.8,,22.1,,10,0.062,,3,85.53,1.02,,,,,14.23,13.86,,,,,,,14.68,14.88
2009-01-11,7.08,6.220000000000000,,,,,7.41,1.815,,,,,58.5,,,,0,0.2895,,,0.0885,0.13,,,,,,26.7,,,,,53.4,,22.25,,10,0.055,,3.2,92.31,1.23,,,,,14.616,13.7905,,,,,,,14.68,14.88
2009-01-12,7.45,6.5,,,,,7.27,1.85,,,,,57.0,,,,0,0.346,,,0.086,0.124,,,,,,26.0,,,,,52,,22.4,,10,0.048,,3.4,99.09,1.44,,,,,15.002,13.721,,,,,,,14.68,14.88
2009-01-13,6.67,6.41,,,,,7.39,1.91,,,,,74.0,,,,0,0.215,,,0.086,0.194,,,,,,22.8,,,,,45.6,,23.2,,10,0.054,,3.7,88.99,1.02,,,,,14.178,13.808,,,,,,,14.68,14.88
2009-01-14,6.62,6.43,,,,,7.28,1.71,,,,,64.0,,,,0,0.213,,,0.094,0.141,,,,,,28.6,,,,,57.2,,22.1,,10,0.051,,3.1,85.55,1.19,,,,,13.852,13.392,,,,,,,14.68,14.88
2009-01-15,6.53,5.88,,,,,7.36,1.92,,,,,26.0,,,,0,0.204,,,0.058,0.214,,,,,,29.5,,,,,59,,28.2,,10,0.036,,3.3,95.32,1.2,,,,,14.237,13.852,,,,,,,14.68,14.88
2009-01-16,6.85,6.07,,,,,7.28,1.87,,,,,21.0,,,,0,0.198,,,0.062,0.165,,,,,,26.4,,,,,52.8,,28.3,,10,0.044,,3.4,95.34,1.25,,,,,14.288,13.864,,,,,,,14.68,14.88
2009-01-17,6.51,6.11,,,,,7.01,1.85,,,,,28.0,,,,0,0.199,,,0.061,0.155,,,,,,28.2,,,,,56.4,,20.5,,10,0.048,,3.6,94.97,1.07,,,,,15.09,14.75,,,,,,,14.68,14.88
2009-01-18,6.450000000000000,6.1900000000000000,,,,,7.025,1.81,,,,,44.5,,,,0,0.1955,,,0.098,0.21800000000000000,,,,,,29.0,,,,,57.95,,18.1,,10,0.11350000000000000,,3.4000000000000000,99.785,1.34,,,,,15.1965,14.395,,,,,,,15.075,14.88
2009-01-19,6.39,6.27,,,,,7.04,1.77,,,,,61.0,,,,0,0.192,,,0.135,0.281,,,,,,29.8,,,,,59.5,,15.7,,10,0.179,,3.2,104.6,1.61,,,,,15.303,14.04,,,,,,,15.47,14.88
2009-01-20,6.38,6.12,,,,,7.17,1.78,,,,,26.0,,,,0,0.183,,,0.128,0.107,,,,,,26.9,,,,,53.7,,18.6,,10,0.087,,3.9,90.37,1.14,,,,,14.495,14.069,,,,,,,14.68,14.88
2009-01-21,6.67,6.08,,,,,7.1,1.92,,,,,30.0,,,,0,0.18,,,0.059,0.147,,,,,,28.4,,,,,56.8,,19.1,,10,0.079,,3,100.22,1.2,,,,,14.948,14.579,,,,,,,14.52,14.88
2009-01-22,6.84,6.2,,,,,7.46,1.74,,,,,20.0,,,,0,0.178,,,0.064,0.157,,,,,,29.7,,,,,59.4,,20.5,,10,0.039,,3.1,89.96,1.15,,,,,14.564,14.122,,,,,,,14.52,14.88
2009-01-23,6.97,5.98,,,,,7.34,1.84,,,,,33.0,,,,0,0.216,,,0.083,0.124,,,,,,29.1,,,,,58.2,,21.1,,10,0.048,,2.9,95.34,1.15,,,,,14.868,14.487,,,,,,,13.41,14.88
2009-01-24,6.99,5.91,,,,,7.23,1.74,,,,,36.0,,,,0,0.173,,,0.093,0.15,,,,,,29.5,,,,,59,,23.4,,10,0.053,,3.2,94.85,1.47,,,,,13.92,13.43,,,,,,,13.41,14.88
2009-01-25,6.720000000000000,6.46,,,,,7.29,1.615,,,,,42.0,,,,0,0.17150000000000000,,,0.1055,0.2005,,,,,,29.7,,,,,59.4,,24.050000000000000,,10,0.046,,3.1500000000000000,99.75,1.665,,,,,14.725,13.811500000000000,,,,,,,13.41,14.88
2009-01-26,6.45,7.01,,,,,7.35,1.49,,,,,48.0,,,,0,0.17,,,0.118,0.251,,,,,,29.9,,,,,59.8,,24.7,,10,0.039,,3.1,104.65,1.86,,,,,15.53,14.193,,,,,,,13.41,14.88
2009-01-27,6.58,6.46,,,,,7.4,1.63,,,,,46.0,,,,0,0.168,,,0.076,0.152,,,,,,30.0,,,,,60,,23.7,,10,0.049,,2.8,92.78,1.41,,,,,14.251,13.833,,,,,,,13.1,14.88
2009-01-28,6.71,6.37,,,,,7.54,1.62,,,,,39.0,,,,0,0.165,,,0.081,0.21,,,,,,28.7,,,,,57.4,,22.7,,10,0.584,,3.3,99.82,1.6,,,,,13.903,14.083,,,,,,,12.62,14.88
2009-01-29,6.17,6.01,,,,,7.47,1.6,,,,,39.0,,,,0,0.17,,,0.102,0.187,,,,,,28.0,,,,,56,,23.9,,10,0.526,,3,54.33,0.21,,,,,14.429,13.622,,,,,,,13.89,14.88
2009-01-30,6.19,5.9,,,,,7.59,1.76,,,,,43.0,,,,0,0.16,,,0.099,0.18,,,,,,29.4,,,,,58.7,,24.4,,10,0.083,,2.9,95.34,1.38,,,,,14.265,13.765,,,,,,,13.89,14.88
2009-01-31,6.43,6.16,,,,,6.8,1.76,,,,,56.0,,,,0,0.161,,,0.094,0.15,,,,,,30.1,,,,,60.2,,24.4,,10,0.036,,3.2,94.42,1.27,,,,,14.56,14.15,,,,,,,13.1,14.88
