pH_Raw,pH_PTC,pH_PTC_(OL),pH_SWC,pH_Filter,pH_Finish_(OL),pH_Finish,Chlorine_Free,Chlorine_Total,Chlorine_Sample,Chlorine_Analyzer,Colour_Raw_A,Colour_Raw_T,Colour_SWC_A,Colour_Filter_A,Colour_Finish_A,Colour_Finish_T,Turbidity_Raw,Turbidity_Raw_(OL),Turbidity_SWC,Turbidity_Filter,Turbidity_Finish,Turbidity_Finish_(OL),Total_Dissolved_Solids_Raw,Total_Dissolved_Solids_PTC,Total_Dissolved_Solids_SWC,Total_Dissolved_Solids_Filter,Total_Dissolved_Solids_Finish,Conductivity_Raw,Conductivity_PTC,Conductivity_SWC,Conductivity_Filter,Conductivity_Finish,Hardness_Raw,Hardness_Finish,Alkalinity_Raw,Alkalinity_Finish,Aluminium_Finish_(Free),Temperature_Raw,Temperature_Finish,Cl_Used,Cl_Demand,UVT_Raw,UVT_Filter,UVA_Raw,UVA_Filter,Flows_within_plant_Raw,Flows_within_plant_Finish,Flows_within_plant_Filter,Flows_within_plant_Backwash,Flows_from_plant_Bishop's,Flows_from_plant_Botwood,Flows_from_plant_GFW,Chemical_Dosages_Chlorine,Chemical_Dosages_Alum,Chemical_Dosages_Limestone
6.99,6.44,5.359999999999999,5.433333333333334,5.446666666666666,6.896666666666666,7.35,1.82,1.79,1.9833333333333332,1.9633333333333336,49.666666666666664,40.0,20.333333333333332,5.0,3.6666666666666665,2.191609316821052,0.341,0.22599999999999998,1.3936666666666666,0.083,0.134,0.7613333333333333,10.4,24.333333333333332,22.099999999999998,22.399999999999995,24.3,17.433333333333334,43.76666666666667,35.5,36.0,48.6,3.0966666666666662,20.9,3.0666666666666664,10.0,0.094,6.833333333333333,3.4,89.96,1.03,53.86666666666667,88.8,0.2693666666666667,0.05273333333333333,14.612,14.312,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
7.18,6.41,5.203333333333334,5.496666666666667,5.266666666666667,6.516666666666667,7.22,1.79,1.7233333333333334,1.78,1.7300000000000002,84.0,176.0,32.666666666666664,5.0,6.333333333333333,2.191609316821052,0.307,0.39999999999999997,2.8333333333333335,0.085,0.138,0.8956666666666666,9.633333333333333,32.233333333333334,25.066666666666666,25.666666666666668,28.2,19.266666666666666,64.46666666666667,50.13333333333333,51.333333333333336,56.4,2.7833333333333337,20.2,2.866666666666667,10.0,0.043,8.433333333333334,3.7,89.96,1.09,44.699999999999996,88.83333333333333,0.3489333333333333,0.05256666666666667,14.521,14.201,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
6.63,6.52,5.126666666666668,5.3133333333333335,5.333333333333333,6.936666666666667,7.34,1.82,1.97,2.0833333333333335,2.1166666666666667,61.0,54.0,16.0,0.6666666666666666,1.7464557944010957,2.191609316821052,0.518,0.5463333333333333,0.7130000000000001,0.091,0.12,0.44366666666666665,12.0,31.533333333333335,22.833333333333332,23.3,26.8,24.0,63.06666666666667,45.666666666666664,46.6,53.6,3.0566666666666666,23.2,3.233333333333333,10.0,0.058,8.200000000000001,3.7,89.96,1.03,49.46666666666666,88.56666666666666,0.3061333333333333,0.0527,14.66,14.34,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
6.735,6.515,5.093333333333334,5.166666666666667,5.213333333333334,7.0,7.29,1.785,1.5833333333333333,1.6766666666666667,1.6366666666666667,77.0,74.0,30.666666666666668,5.333333333333333,6.666666666666667,2.191609316821052,0.414,0.505,2.6533333333333338,0.143,0.141,1.314,9.0,29.433333333333334,22.666666666666668,23.100000000000005,27.1,18.0,58.86666666666667,45.333333333333336,46.20000000000001,54.2,3.0999999999999996,23.85,2.7999999999999994,10.0,0.046,8.733333333333334,3.65,90.05,1.115,43.63333333333333,83.46666666666665,0.3595333333333333,0.07833333333333334,14.881,14.113,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
6.84,6.51,5.203333333333334,5.496666666666667,5.266666666666667,6.516666666666667,7.24,1.75,1.7233333333333334,1.78,1.7300000000000002,84.0,94.0,32.666666666666664,5.0,6.333333333333333,2.191609316821052,0.31,0.39999999999999997,2.8333333333333335,0.195,0.162,0.8956666666666666,9.633333333333333,32.233333333333334,25.066666666666666,25.666666666666668,27.4,19.266666666666666,64.46666666666667,50.13333333333333,51.333333333333336,54.8,2.7833333333333337,24.5,2.866666666666667,10.0,0.034,8.433333333333334,3.6,90.14,1.2,44.699999999999996,88.83333333333333,0.3489333333333333,0.05256666666666667,15.102,13.886,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
6.8,6.48,5.126666666666668,5.3133333333333335,5.333333333333333,6.936666666666667,1.73,1.73,1.97,2.0833333333333335,2.1166666666666667,61.0,52.0,16.0,0.6666666666666666,1.7464557944010957,2.191609316821052,0.275,0.5463333333333333,0.7130000000000001,0.108,0.128,0.44366666666666665,12.0,31.533333333333335,22.833333333333332,23.3,27.5,24.0,63.06666666666667,45.666666666666664,46.6,55.1,3.0566666666666666,22.6,3.233333333333333,10.0,0.046,8.200000000000001,3.4,86.28,1.07,49.46666666666666,88.56666666666666,0.3061333333333333,0.0527,13.909,13.971,13.839999999999998,0.9533333333333333,1.4483333333333335,2.783333333333333,7.192666666666667,2.928706666666667,14.68,14.88
7.32,6.395,5.126666666666668,5.3133333333333335,5.333333333333333,6.936666666666667,4.51,4.795,1.97,2.0833333333333335,2.1166666666666667,61.0,56.0,16.0,0.6666666666666666,1.7464557944010957,2.191609316821052,0.158,0.5463333333333333,0.7130000000000001,0.1005,0.136,0.44366666666666665,12.0,31.533333333333335,22.833333333333332,23.299999999999997,28.0,24.0,63.06666666666667,45.666666666666664,46.599999999999994,56.05,3.0566666666666666,22.9,3.233333333333333,10.0,0.049,8.200000000000001,3.9,91.055,1.205,49.46666666666666,88.56666666666666,0.30613333333333337,0.0527,14.151,13.7815,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
7.84,6.31,5.203333333333334,5.3933333333333335,5.41,7.013333333333333,7.29,7.86,2.0933333333333333,2.0566666666666666,2.0766666666666667,60.666666666666664,60.0,14.666666666666666,0.3333333333333333,1.7464557944010957,2.191609316821052,0.041,0.5496666666666666,0.6043333333333333,0.093,0.144,0.4566666666666667,13.266666666666666,34.00000000000001,25.099999999999998,25.599999999999998,28.5,26.53333333333333,68.00000000000001,50.199999999999996,51.199999999999996,57.0,3.1566666666666663,23.2,3.533333333333333,10.0,0.052,6.733333333333333,4.4,95.83,1.34,50.800000000000004,88.2,0.29383333333333334,0.053366666666666666,14.393,13.592,13.519333333333334,1.282,1.5413333333333334,2.5493333333333332,8.245333333333333,3.2710970316666668,14.68,14.88
6.74,6.34,5.150000000000001,5.319999999999999,5.343333333333334,6.873333333333334,7.22,1.69,1.876666666666667,1.9133333333333333,1.9100000000000001,65.66666666666667,64.0,18.666666666666668,1.3333333333333333,2.6666666666666665,2.191609316821052,0.249,0.5063333333333334,1.2690000000000001,0.08,0.13,0.7436666666666666,11.766666666666666,33.1,24.766666666666666,25.166666666666668,27.5,23.53333333333333,66.2,49.53333333333333,50.333333333333336,55.1,3.0399999999999996,22.5,3.466666666666667,10.0,0.061,7.533333333333334,3.1,69.41,0.61,48.366666666666674,86.26666666666667,0.3162666666666667,0.06293333333333333,14.042,13.678,12.683333333333332,0.9633333333333333,1.454666666666667,2.6439999999999997,7.174333333333333,2.7553700000000005,14.68,14.88
6.71,5.94,5.126666666666667,5.3133333333333335,5.333333333333333,6.936666666666667,7.55,1.78,1.97,2.0833333333333335,2.1166666666666667,61.0,60.0,16.0,0.6666666666666666,1.7464557944010957,2.191609316821052,0.233,0.5463333333333333,0.7130000000000001,0.091,0.136,0.44366666666666665,12.0,31.533333333333335,22.833333333333332,23.3,27.4,24.0,63.06666666666667,45.666666666666664,46.6,54.8,3.0566666666666666,22.1,3.233333333333333,10.0,0.062,8.200000000000001,3.0,85.53,1.02,49.46666666666667,88.56666666666666,0.3061333333333333,0.0527,14.23,13.86,13.839999999999998,0.9533333333333333,1.4483333333333335,2.783333333333333,7.192666666666667,2.928706666666667,14.68,14.88
7.08,6.22,5.126666666666667,5.3133333333333335,5.333333333333333,6.936666666666667,7.41,1.815,1.97,2.0833333333333335,2.1166666666666667,61.0,58.5,16.0,0.6666666666666666,1.7464557944010957,2.191609316821052,0.2895,0.5463333333333333,0.7130000000000001,0.0885,0.13,0.44366666666666665,12.0,31.533333333333335,22.833333333333332,23.3,26.7,24.0,63.06666666666667,45.666666666666664,46.6,53.4,3.0566666666666666,22.25,3.233333333333333,10.0,0.055,8.200000000000001,3.2,92.31,1.23,49.46666666666667,88.56666666666666,0.3061333333333333,0.0527,14.616,13.7905,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
7.45,6.5,5.126666666666668,5.3133333333333335,5.333333333333333,6.936666666666667,7.27,1.85,1.97,2.0833333333333335,2.1166666666666667,61.0,57.0,16.0,0.6666666666666666,1.0,2.191609316821052,0.346,0.5463333333333333,0.7130000000000001,0.086,0.124,0.44366666666666665,12.0,31.533333333333335,22.833333333333332,23.299999999999997,26.0,24.0,63.06666666666667,45.666666666666664,46.599999999999994,52.0,3.0566666666666666,22.4,3.233333333333333,10.0,0.048,8.200000000000001,3.4,99.09,1.44,49.46666666666666,88.56666666666666,0.30613333333333337,0.0527,15.002,13.721,14.712666666666665,1.2853333333333332,1.5156666666666665,2.5353333333333334,9.473999999999998,3.0189436413333333,14.68,14.88
6.67,6.41,5.1000000000000005,5.156666666666666,5.193333333333333,7.03,7.39,1.91,1.64,1.6666666666666667,1.6433333333333333,77.0,74.0,32.666666666666664,5.333333333333333,5.0,2.191609316821052,0.215,0.5046666666666667,2.6333333333333333,0.086,0.194,1.2813333333333334,8.9,28.46666666666667,21.933333333333337,22.333333333333332,22.8,17.8,56.93333333333334,43.866666666666674,44.666666666666664,45.6,3.096666666666667,23.2,2.8333333333333335,10.0,0.054,8.466666666666667,3.7,88.99,1.02,43.73333333333333,83.66666666666667,0.3594,0.07813333333333333,14.178,13.808,13.299999999999999,0.9466666666666667,1.3966666666666667,2.7663333333333333,7.404,3.1483933333333334,14.68,14.88
6.62,6.43,5.113333333333333,5.296666666666666,5.323333333333333,6.94,7.28,1.71,2.0566666666666666,2.106666666666667,2.1333333333333333,62.666666666666664,64.0,17.0,0.3333333333333333,1.7464557944010957,2.191609316821052,0.213,0.5026666666666667,0.7856666666666667,0.094,0.141,0.4566666666666667,11.833333333333334,31.5,23.200000000000003,23.8,28.6,23.666666666666668,63.0,46.400000000000006,47.6,57.2,2.9966666666666666,22.1,3.5666666666666664,10.0,0.051,8.333333333333334,3.1,85.55,1.19,49.93333333333334,88.26666666666667,0.3020333333333333,0.05306666666666667,13.852,13.392,13.839999999999998,0.9533333333333333,1.4483333333333335,2.783333333333333,7.192666666666667,2.928706666666667,14.68,14.88
6.53,5.88,5.156666666666666,5.3999999999999995,5.43,6.216666666666666,7.36,1.92,1.9766666666666668,1.9666666666666668,2.34,39.666666666666664,26.0,15.666666666666666,1.0,1.7464557944010957,2.191609316821052,0.204,0.4306666666666667,1.051,0.058,0.214,0.20533333333333334,14.133333333333333,33.63333333333333,30.133333333333336,30.333333333333332,29.5,28.266666666666666,67.26666666666667,60.26666666666667,60.666666666666664,59.0,3.58,28.2,2.8333333333333335,10.0,0.036,16.333333333333332,3.3,95.32,1.2,62.699999999999996,91.2,0.20563333333333333,0.03963333333333333,14.237,13.852,13.339999999999998,0.9466666666666667,1.3693333333333335,2.7763333333333335,7.816,3.2363433333333336,14.68,14.88
6.85,6.07,5.213333333333334,5.243333333333333,5.21,6.966666666666666,7.28,1.87,1.7833333333333332,2.1566666666666667,1.78,29.0,21.0,16.666666666666668,1.0,1.7464557944010957,2.191609316821052,0.198,0.439,1.1753333333333333,0.062,0.165,0.12466666666666666,9.200000000000001,20.333333333333332,20.1,20.5,26.4,18.3,40.8,37.699999999999996,40.86666666666667,52.8,3.4433333333333334,28.3,2.9333333333333336,10.0,0.044,14.066666666666668,3.4,95.34,1.25,68.36666666666667,90.89999999999999,0.16496666666666668,0.0412,14.288,13.864,13.339999999999998,0.9466666666666667,1.3693333333333335,2.7763333333333335,7.816,3.2363433333333336,14.68,14.88
6.51,6.11,5.253333333333333,5.206666666666667,5.240000000000001,6.406666666666666,7.01,1.85,1.8633333333333333,1.9166666666666667,1.7933333333333337,42.666666666666664,28.0,15.666666666666666,0.6666666666666666,1.7464557944010957,2.191609316821052,0.199,0.305,0.5526666666666668,0.061,0.155,0.13333333333333333,12.533333333333333,32.266666666666666,27.03333333333333,27.099999999999998,28.2,25.066666666666666,64.53333333333333,54.06666666666666,54.199999999999996,56.4,3.44,20.5,3.0666666666666664,10.0,0.048,10.799999999999999,3.6,94.97,1.07,58.63333333333333,88.63333333333333,0.2329,0.0516,15.09,14.75,13.943333333333333,0.9466666666666667,1.4383333333333332,2.7693333333333334,8.281333333333334,3.02012,14.68,14.88
